,Twitter Query: #octubrerosa OR #DiaMundialdelCancerdeMama -filter:retweets -filter:replies,,,,,,,,,,,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
22/10/2020 22:05,@VPITV,VPItv,"¡Cuídate y quiérete! Es esencial realizarte una autoexploración mensual, nadie mejor que tú para descubrir alguna irregularidad. #OctubreRosa",1319505089397248000,,https://pbs.twimg.com/media/Ek_S4vRWMAEy5Cy.jpg,,1,0,Hootsuite Inc.,537582,565,1167,✅,18/12/2015,Venezuela,Canal de Noticias EN VIVO 🔴 I Mira nuestra señal aquí: I https://bit.ly/2FXPNmo I Youtube I ROKU | Apple TV | APP | Web |,http://www.vpitv.com,,View
22/10/2020 21:24,@AlkazarLopez,Jessica Alkazar Lopez,#OctubreRosa ❤ RT @alfredodelmazo: La prevención es la mejor opción. #OctubreRosa,1319494872760451073,https://twitter.com/alfredodelmazo/status/1318309523686187008,https://pbs.twimg.com/media/EkuThfiUYAAPYQ9.jpg,,0,0,Twitter Web App,146,188,0,,17/5/2020,,,,,View
22/10/2020 21:15,@TigresJersey,#TigresJersey,"#TigresUANL X #MesRosa X @YupRyM En color blanco hueso y vivos en rosa fue hecho este jersey con motivo de #OctubreRosa. Tiene una delgada franja horizontal con simbología alusiva a la mujer además del moño rosa. Tiene algunos detalles más, ¿los notas? mockup @Joaaaj",1319492526345232385,,https://pbs.twimg.com/media/Ek_GpIxXYAEKxn-.jpg,,1,4,Twitter Web App,1457,97,2,,25/7/2018,San Nicolás de los Garza,Foro abierto de todo lo relacionado a las camisetas y linea deportiva de @TigresOficial. Open forum for everything about #TigresUANL's jerseys.,,,View
22/10/2020 21:01,@PepeGzz2,Pepe Gzz,"#QuedateEnClase 👉Entérate 👈El Sindicato Nacional de Trabajadores de la Educación, a través de la Sección 50 INICIA LA CAMPAÑA de MAMOGRAFÍA; agenda tu cita al tel.8181518750 Ext 8824 de 8:00am a 7:00 pm. La detección temprana es la clave. #SNTEconEllas #MesRosa #OctubreRosa🌹",1319489073489338370,,https://pbs.twimg.com/media/Ek_EUc4XgAAv-85.jpg,,0,0,Twitter for Android,41,174,0,,24/11/2018,,,,,View
22/10/2020 21:01,@DARIOGZZ,JOSE DARIO GONZALEZ,"#QuedateEnClase 👉Entérate 👈El Sindicato Nacional de Trabajadores de la Educación, a través de la Sección 50 INICIA LA CAMPAÑA de MAMOGRAFÍA; agenda tu cita al tel.8181518750 Ext 8824 de 8:00am a 7:00 pm. La detección temprana es la clave. #SNTEconEllas #MesRosa #OctubreRosa🌹",1319489033832222720,,https://pbs.twimg.com/media/Ek_ESIYXUAA5Iag.jpg,,0,0,Twitter for Android,436,779,0,,23/6/2011,mty n.l,,,,View
22/10/2020 21:01,@Seccion50SNTE,Sección 50 SNTE,"#QuedateEnClase 👉Entérate 👈El Sindicato Nacional de Trabajadores de la Educación, a través de la Sección 50 INICIA LA CAMPAÑA de MAMOGRAFÍA; agenda tu cita al tel.8181518750 Ext 8824 de 8:00am a 7:00 pm. La detección temprana es la clave. #SNTEconEllas #MesRosa #OctubreRosa🌹",1319488984318357504,,https://pbs.twimg.com/media/Ek_EPQ0XUAASxqM.jpg,,0,0,Twitter for Android,2431,670,13,,16/9/2013,Monterrey N.L,Sindicato Nacional de Trabajadores de la Educación,http://www.snte50.org.mx,,View
22/10/2020 20:58,@yadira_encinas,Yadira 🌵,No se pierdan nuestra semana especial #VestidosdeRosa 7pm Sonora 9pm hora Centro de México #OctubreRosa #SomosRMJP @ZanmanChronicle @rmjpgro @rmjpcdmx @RMJP_Global,1319488260205367297,https://www.facebook.com/RMJPSonora/photos/a.2205998829521294/3354961367958362/,https://pbs.twimg.com/media/Ek_DfAEWkAAqrA0.jpg,,0,0,Twitter Web App,1564,576,65,,7/7/2010,"Sonora, México",Psicóloga en proceso/Emprendedora #Arsencia/ Estratega #EnactusItson/ Voluntaria #OafleArt/ Coordinadora estatal Agenda 2030 #RMJPSonora,http://www.facebook.com/yadira.encinasoficiall,,View
22/10/2020 20:51,@elduendeopina,Betty H. C.,Prevenir es mejor. #OctubreRosa #Mamografia #CancerDeMama #TocateParaQueNoTeToque,1319486457027923969,,https://pbs.twimg.com/media/Ek_B775W0AAuPdL.jpg,,0,0,Twitter for iPhone,1080,852,1,,23/1/2012,"Jalisco, México","soy una mujer dinamica, estudiante, con negocio propio y vida social agitada. Necesito amigas y amigos para divertirme =)",,,View
22/10/2020 20:49,@ElsieZaldivarr,Elsie Zaldívar,#comunicacion #pymes #empresarios #Escuela #QuedateEnCasa #Covid_19 #ULTIMAHORA #coach #cursos #cursosenlínea #Publicidad #FridayThoughts #FelizViernes #BuenViernes #October2020 #OctubreRosa #MeToo #LGBT #CDMX #Debates2020 #CiudadDeMexico #SemaforoRojo,1319486159786049536,http://www.gabrielzaldivar.net,https://pbs.twimg.com/media/Ek_AwKaXIAADqoL.jpg,,0,2,Twitter Web App,12,146,0,,2/10/2019,México,😉 Actríz de vocación. Mercadóloga de profesión. NO SOY BOT 😉,http://www.gabrielzaldivar.com,,View
