,Date,UserName,Tweet,Hour,Weekday
0,2020-10-21,@CecytemJocot,#OctubreRosa. El cáncer de mama se puede prevenir al detectarlo a tiempo @SaludEdomex te brindan información en: . #ÉchaleUnaManoATuSalud #PrevenirEsSalud,14:26:00,2
1,2020-10-21,@CecytemChicolpn,#ÉchaleUnaManoATuSalud #OctubreRosa El cáncer de mama se puede detectar oportunamente #PrevenirEsSalud. Infórmate en:  o llama a los números 722 212 64 26 55 58 78 64 02 55 82 84 12 61 @Edomex @SaludEdomex,14:15:00,2
2,2020-10-21,@CecytemJilotep,"Acude a tu médico o realiza la autoexploración, el cáncer de mama se puede detectar oportunamente. #OctubreRosa #PrevenirEsSalud @alfredodelmazo",14:14:00,2
3,2020-10-21,@CESPDEM,"#ÉchaleUnaManoATuSalud El cáncer de mama se puede detectar oportunamente, mastografías y ultrasonidos a partir de los 40 años. #PrevenirEsSalud #OctubreRosa @SaludEdomex @Edomex",14:10:00,2
4,2020-10-21,@MileSalvini,"Algunas se cortan y donan su pelo, otras se lo tiñen. Algunas llevan un simple lazo rosa. Lo importante es poder representar la Lucha contra el cancer de mama. #OctubreRosa",14:08:00,2
5,2020-10-21,@MACFUT,LA MEJOR MANERA DE LUCHAR CONTRA EL CANCER DE MAMAS ES PROMOVER LA DETECCION TEMPRANA 💟 #LALCEC #PrevenirEsAmar #Mamografías #Chequeo #Estudio #Salud #octubrerosa🎀 #JuntosContraElCáncerDeMama,14:06:00,2
6,2020-10-21,@LaNacionPy,"#OctubreRosa | Es importante el constante autocontrol ✋🏽 en la zona mamaria para detectar cualquier irregularidad a tiempo. Ante cualquier molestia, consultá al centro de salud más cercano 🏥 ¡El cáncer de mama se diagnostica si se detecta a tiempo!",14:00:00,2
7,2020-10-21,@juliacuellar82,"Seguimos recibiendo sus ilustraciones. Nos censura Facebook así que por favor ayuden a compartir esta convocatoria, apoyen en la sensibilización del cáncer de mama. #CancerAwarenessMonth #pinktober #PinkOctober #OctubreRosa #inktober2020",13:55:00,2
8,2020-10-21,@maac_ac,"#OctubreRosa, es reconocido mundialmente para crear conciencia sobre el cáncer de mama y así promover la autoexploración, revisiones periódicas y chequeos para poder detectarlo a tiempo. 🎗️🌎",13:45:00,2
9,2020-10-21,@BomberosBGA,¡El #CáncerDeMama No discrimina por condición de sexo! Queremos conmemorar el mes de la Lucha Contra el Cáncer de Mama #OctubreRosa La gente valiente y luchadora es la que inspira y da sentido a la vida ¡Mucho ánimo valientes! 🙌,13:39:00,2
10,2020-10-21,@SalvatiAC,"En el movimiento #EstamosAquí, trabajamos para que todas las pacientes con cáncer de mama cuenten con atención de calidad en todo el país. En este #OctubreRosa, queremos hacer oír nuestras voces.",13:31:00,2
